,SUCT1,EVAT,DIST1,SURH,RERH,ECT,ECT.Humidity,ECRH,SUAVG.Humidity,ORH,OT,IT,SUCP2,RUAVG.Humidity,RET,SUCP1,SUT,DISP2,DISP1,FLW,SUCT2,CONT,EXT1,DIST2,No Fault,Evaporator Fault,Condenser Fault,Undercharged B,Overcharged A,System Off
251,24.88278,22.726084,24.145288,82.564552,75.566902,23.541971,0.015479885,84.362144,0.016294541000000003,90.493889,13.278355,24.811605,8.02684,0.015017933,23.736994,8.270911,24.17695,7.966444,9.191859,3070.381592,24.852425,23.564528,23.682104000000002,24.380913,1.0,0.0,0.0,0.0,0.0,0.0
252,18.066114000000002,18.525312,47.400852,77.252586,73.932732,23.470148000000002,0.015235084,83.420547,0.013405383,90.52198,13.336632,24.83886,7.673528999999999,0.014604208,23.361349,4.244539,22.65806,7.607900999999999,14.993343,3420.5749509999996,24.797785,28.2764,21.742498,24.299967000000002,1.0,0.0,0.0,0.0,0.0,0.0
253,22.125643,14.587644000000001,68.23075899999999,77.984268,73.16242199999999,23.392923,0.015092171000000001,83.042702,0.01175011,90.5625,13.212399,24.849487,7.406024,0.014397186000000001,23.170370000000002,4.937182,20.745514,7.359894000000001,15.203465,3416.7619630000004,24.864569,31.93928,19.451944,24.358652,1.0,0.0,0.0,0.0,0.0,0.0
254,22.250582,13.536076000000001,71.92830699999999,81.84587900000001,72.994713,23.349169,0.01503728,82.966705,0.011591647,90.622375,13.299029999999998,24.814964,7.314713,0.014363421000000001,23.153852,5.080507,19.402555,7.278211,15.190688,3365.8610840000006,25.164070000000002,32.868140999999994,18.117178,24.660179,0.0,0.0,0.0,0.0,1.0,0.0
255,22.186029,13.344501000000001,73.50869,84.561302,72.879326,23.294373999999998,0.014980863,82.936806,0.011696402,90.644257,13.29055,24.771652,7.061458999999999,0.014340192,23.144669,5.143299,18.582659,7.961060000000001,15.206913,3278.7341309999997,25.467619,33.137287,17.557032,24.981941,0.0,0.0,0.0,0.0,1.0,0.0
256,22.090242,13.169585999999999,74.666397,84.273735,72.946304,23.236383,0.014956496000000001,83.095764,0.011305087,90.698616,13.683964999999999,24.705214,1.3790930000000001,0.014310818999999999,23.114006,5.186783999999999,17.953865,11.235705000000001,15.436129999999999,3247.554443,23.084391,34.025677,25.023087,54.694244,0.0,0.0,0.0,1.0,0.0,0.0
257,22.059008,13.213314000000002,75.702538,85.434166,73.335327,23.200195,0.014956647,83.278564,0.01106618,90.760475,13.510760000000001,24.638399,1.375351,0.014339797,23.07696,5.245717,17.333292,11.37228,15.555569,3183.705322,22.841963,35.152851,27.529726,84.913658,0.0,0.0,0.0,1.0,0.0,0.0
258,22.06109,13.134186999999999,76.171982,86.96848299999999,73.501152,23.180168,0.014959735,83.39627800000001,0.011133068000000001,90.866699,13.246429000000001,24.566132999999997,1.425263,0.014368877,23.058006,5.246079,16.948515,11.333819,15.485195000000001,3099.571533,23.28966,34.986912,27.479135999999997,93.024048,0.0,0.0,0.0,1.0,0.0,0.0
259,22.021528,12.92179,76.628326,87.93768299999999,73.644524,23.16036,0.01494539,83.418053,0.011182234,90.972115,13.164110999999998,24.456964000000003,1.466236,0.014395503999999998,23.054266000000002,5.2779739999999995,16.717388,11.45659,15.596870000000001,3034.302979,23.499975,35.217609,27.711861,97.636864,0.0,0.0,0.0,1.0,0.0,0.0
260,21.911165,12.811428,76.994896,88.511513,73.736,23.137048999999998,0.014916756000000002,83.379448,0.011231297,91.14014399999999,13.218959,24.378695,1.483411,0.014413799,23.028204000000002,5.285518,16.556875,11.462571,15.592834,2981.140625,23.622835000000002,34.8918,27.833275,100.532875,0.0,0.0,0.0,1.0,0.0,0.0
261,21.817459,12.746875,77.32781999999999,88.91235400000001,73.884773,23.123335,0.014891851000000001,83.312584,0.011224149,91.32382199999999,13.193952,24.301092,1.502434,0.014443557,23.001915,5.301337,16.45672,11.508007000000001,15.628734,2925.863037,23.63949,35.148804,27.999215999999997,102.524109,0.0,0.0,0.0,1.0,0.0,0.0
262,21.734167000000003,12.692735,77.393272,89.169556,74.090485,23.111465,0.014887491000000001,83.34859499999999,0.011255521000000001,91.398872,13.106709,24.21699,1.515292,0.014451711,22.972649,5.291339,16.371874,11.409419,15.517954999999999,2899.45874,23.62075,35.154877,27.740189,103.580299,0.0,0.0,0.0,1.0,0.0,0.0
263,21.680029,12.669829,77.488663,89.359261,74.210991,23.089385999999998,0.01486028,83.31102800000001,0.011232708999999999,91.384697,13.256579,24.142464,1.5169290000000002,0.014411911999999999,22.942467,5.282903,16.30411,11.370956,15.487549,2875.7229,23.56661,34.94846,27.643057000000002,104.575897,0.0,0.0,0.0,1.0,0.0,0.0
264,21.617559,12.636513,77.619576,89.512352,74.375519,23.066141000000002,0.014858828000000001,83.42034100000001,0.011218644,91.44066600000001,13.223223999999998,24.081354,1.530532,0.014442547,22.903692000000003,5.288978,16.25145,11.393443,15.508420000000001,2856.431885,23.577021,35.205467,27.632934999999996,105.33818799999999,0.0,0.0,0.0,1.0,0.0,0.0
265,21.561335,12.649005,77.9394,89.75769,74.514465,23.054504,0.014892515,83.663948,0.011249948999999999,91.60923000000001,13.138289000000002,24.028864000000002,1.554029,0.014470156000000001,22.88801,5.312939,16.217613,11.502281,15.615944,2828.177734,23.564528,35.666862,27.942556,105.87428999999999,0.0,0.0,0.0,1.0,0.0,0.0
